Brand,Color,Type,Size,Spinspeed,Rating,No_of_reviews,No_of_Ratings,Price
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
IFB,Grey,Fully Automatic Front Load,8.0,1200.0,4.3,8031,77392,32990.0
Admiral,White,Semi Automatic Top Load,5.0,1350.0,3.7,0,0,7799.0
FOXSKY,Maroon,Semi Automatic Top Load,5.0,1300.0,4.1,12,222,6990.0
Sansui,White,Semi Automatic Top Load,5.0,1350.0,4.2,1379,15330,10150.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
MOTOROLA,Black,Semi Automatic Top Load,8.0,1350.0,4.2,99,1299,9590.0
Admiral,Black,Semi Automatic Top Load,8.0,1350.0,3.7,0,0,10499.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.2,1363,19093,16490.0
Whirlpool,Grey,Fully Automatic Front Load,8.0,740.0,5.0,1,6,34990.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1300.0,4.3,3,87,14800.0
Whirlpool,Grey,Fully Automatic Top Load,5.0,740.0,4.3,2039,26651,14700.0
IFB,Grey,Fully Automatic Front Load,7.0,1000.0,4.3,59,680,33290.0
Whirlpool,Grey,Semi Automatic Top Load,9.0,1400.0,4.3,271,2987,14500.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,700.0,4.3,4479,57726,24990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.1,1230,16409,14990.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1300.0,4.3,2363,32304,16190.0
SAMSUNG,Grey,Semi Automatic Top Load,5.0,1200.0,4.3,3,87,14800.0
MarQ,White,Semi Automatic Top Load,8.0,1350.0,4.1,3,58,5299.0
Whirlpool,Grey,Fully Automatic Top Load,6.0,740.0,4.2,1363,19093,13790.0
LG,Maroon,Semi Automatic Top Load,5.0,1200.0,4.4,9,206,13590.0
MarQ,Grey,Semi Automatic Top Load,9.0,1350.0,4.3,4968,47406,9990.0
Haier,Grey,Fully Automatic Top Load,5.0,800.0,4.0,1,10,13990.0
Admiral,White,Semi Automatic Top Load,5.0,1350.0,3.7,0,0,9499.0
SAMSUNG,Grey,Fully Automatic Top Load,9.0,1400.0,4.4,1533,17279,42990.0
Whirlpool,Grey,Fully Automatic Top Load,8.0,740.0,4.2,20,151,31990.0
BOSCH,Silver,Fully Automatic Front Load,6.0,1200.0,4.4,3,40,54990.0
Lloyd,Grey,Semi Automatic Top Load,5.0,1300.0,4.3,34,384,12290.0
SAMSUNG,Black,Fully Automatic Front Load,9.0,1400.0,4.4,1533,17279,39990.0
Whirlpool,Grey,Fully Automatic Top Load,7.0,740.0,4.0,13,187,26990.0
